,headlines,text,source,link
6923,"Unnao rape survivor's car was on fire, rains saved her: Eyewitness","An eyewitness of the Unnao rape survivor's car-truck collision on Saturday said, ""If it hadn't been raining that day everyone [in the car] would be dead."" People were scared of going close because the front of the car was on fire, the eyewitness added. Passersby reportedly called the police and then pulled out the passengers after the fire subsided.",The Quint,https://www.thequint.com/news/india/unnao-rape-case-accident-eyewitnesses-says-car-on-fire?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6924,"6,216 passengers reported at Srinagar Airport today: AAI","The Airport Authority of India (AAI) on Saturday said that as many as 6,216 passengers reported at Srinagar Airport today for travelling out of the Valley. ""Out of this, 5,829 passengers travelled by 32 scheduled flights,"" AAI added. ""Remaining 387 passengers were accommodated in four IAF aircraft and flown to Jammu, Pathankot and Hindon,"" AAI further said.",Twitter,https://twitter.com/AAI_Official/status/1157674939563925504?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6925,Hundreds detained during protest in Moscow: Reports,"Russian police reportedly detained hundreds of protestors during an unauthorised opposition rally in Moscow on Saturday. According to the reports, the protestors gathered in the Russian capital after authorities disqualified many opposition candidates from contesting the Moscow parliamentary elections scheduled for September. Mobile internet was blocked in many parts of Moscow, reports claimed.",Reuters,https://www.reuters.com/article/us-russia-politics-protests-sobol/russian-police-detain-more-than-300-opposition-protesters-in-moscow-idUSKCN1UT09X?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6926,"Thief finds shop's cash drawer empty, leaves note for owner in TN","A thief who broke into a shop in Tamil Nadu left a 'feedback note' for the shopkeeper after finding the shop's cash drawer empty. ""I broke into your store putting my life at risk. But there's not a penny in your cash drawer,"" the thief wrote. ""So, I decided to do this monkey business (wrecking the store),"" the thief added.",The New Indian Express,http://www.newindianexpress.com/states/tamil-nadu/2019/aug/03/bizarre-burglar-leaves-feedback-note-at-shop-2013441.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6927,"Saini gets hit for 6, takes 2 wickets in his 1st international over","Fast bowler Navdeep Saini, who is making his international debut for India in the T20I against West Indies today, was hit for a six by Nicholas Pooran on the second delivery of his first over. The 26-year-old pacer went on to dismiss Pooran on the fourth delivery and bowled out Shimron Hetmyer off the fifth delivery.",ICC,https://www.icc-cricket.com/live-cricket/live?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6928,"Every time we woke up, it was the worst feeling: Kohli on WC exit","Talking about India's 2019 World Cup exit, Team India captain Virat Kohli said that the first few days after they exited the World Cup were quite difficult. ""Every time we woke up it was the worst feeling in the morning. Then through the day you do things and sort of get on with your life. We are professionals,"" he added.",Cricket Country,https://www.cricketcountry.com/news/india-vs-west-indies-2019-every-time-we-woke-up-it-was-the-worst-feeling-in-the-world-virat-kohli-on-indias-world-cup-exit-875265?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6929,"Fans tease Warner with sandpaper chants, he shows his empty pockets","A section of English crowd at the Edgbaston stadium teased Australia opener David Warner with sandpaper chants while he was fielding in the deep during the third day of the first Ashes Test on Saturday. The crowd was heard chanting, ""He's got sandpaper in his hand"", to which Warner responded by showing his empty pockets.",CricTracker,https://www.crictracker.com/david-warner-shows-empty-pockets-in-response-to-crowds-sledge/
6930,"Gambhir criticises Bedi, Chetan Chauhan as Saini makes int'l debut","Former India cricketer Gautam Gambhir criticised ex-cricketers and DDCA members Bishan Singh Bedi and Chetan Chauhan after 26-year-old pacer Navdeep Saini made his debut for India and took two wickets in his first over against West Indies. ""Their middle stumps are gone...,"" wrote Gambhir. Bedi and Chauhan had objected to Saini's selection in Delhi's Ranji team, terming him an 'outsider'.",CricTracker,https://www.crictracker.com/gautam-gambhir-slams-the-ddca-after-navdeep-sainis-dream-debut-versus-windies/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6931,"Indian boxer Neeraj shares pic with guns, says he's ready to fight Amir","Indian boxer Neeraj Goyat, who was ruled out of July 12 bout against British-Pakistani boxer Amir Khan after sustaining injuries in an accident, has said that he is now ready to fight Amir. Neeraj shared a picture of himself with guns and bullets on social media, writing, ""I am fit now and ready to beat Amir Khan in the ring.""",RT,https://www.rt.com/sport/465671-neeraj-goyat-amir-khan-guns/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6932,"Thinking of leaving politics, joining it was an accident: Kumaraswamy","Karnataka's former Chief Minister HD Kumaraswamy on Saturday said that he came to politics ""accidentally and also became the CM of the state ""accidentally"". He said that he was thinking of going away from politics stating that people keep dragging his family into politics. Kumaraswamy led Congress-JD(S) coalition government collapsed after 14 months after losing trust vote on July 23.",Hindustan Times,https://www.hindustantimes.com/india-news/i-am-thinking-of-going-away-from-politics-if-hd-kumaraswamy/story-MxlZnfm1ja1kpcqqAa4wbN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6933,Elon Musk says will launch The Boring Company in China this month,"Billionaire entrepreneur Elon Musk has said that he will be launching his tunnel-digging startup The Boring Company later this month. Musk is due to speak at the World Artificial Intelligence Conference in Shanghai taking place from August 29 to 31. Musk also replied to a Twitter user asking if the startup would also do underwater tunnels, saying, ""Yes.""",TechCrunch,https://techcrunch.com/2019/08/03/elon-musk-says-the-boring-company-will-launch-in-china-this-month/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6934,July 2019 equalled if not broke record for hottest month ever: UN,"July 2019 equalled if not surpassed the record for the hottest month in history, the UN's meteorological agency, the World Meteorological Organization said, based on data from the first 29 days of the month. The previous record for the hottest month was set in July 2016. July 2019 was around 1.2°C warmer than the pre-industrial era, according to the data.",Deutsche Welle,https://www.dw.com/en/july-equaled-if-not-surpassed-hottest-month-ever-un/a-49857050?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6936,"IAF C-17s to airlift Amarnath pilgrims, aircraft can carry 230 people",The IAF C-17 aircraft will airlift Amarnath yatra pilgrims out of the valley following Jammu and Kashmir government's request amid terror threat. The C-17 is a transport aircraft with the capacity of carrying 230 passengers in one go. The Jammu and Kashmir government had on Friday issued an advisory for Amarnath pilgrims and tourists to leave the valley immediately.,ANI,https://www.aninews.in/news/national/politics/iaf-c-17s-to-airlift-amarnath-yatra-pilgrims-on-j-k-govt-request20190803155310/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6937,Nawaz Sharif made laws to launder money: Pak PM's aide,"Pakistan's former PM Nawaz Sharif and his family made laws in the 1990s to facilitate money laundering, PM Imran Khan's aide, Shahzad Akbar, said. He added that 1.7 crore Pakistani rupees were transferred to Sharif's daughter Maryam Nawaz's account through telegraphic transfer. Notably, the Panama Papers had revealed that Sharif's family owned apartments in London through offshore companies.",India.com,https://www.india.com/news/world/nawaz-sharif-made-laws-to-facilitate-money-deals-pak-pms-aide-shahzad-akbar-3735228/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6938,Jet Airways extends deadline for initial bids to August 10,"Jet Airways has extended the deadline for initial bids for the bankrupt airline to August 10 from August 3. The bid submission deadline has been extended at the request of some prospective bidders, it said. Jet's lenders agreed on July 19 to provide interim financing to help it cover legal and other costs as bankruptcy resolution experts seek a buyer.",Reuters,https://in.reuters.com/article/india-jetairways/jet-airways-extends-deadline-for-initial-bids-to-aug-10-idINKCN1UT0A3?il=0&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6940,Moeen Ali's leave ends up with his bowled dismissal,"Australia's Nathan Lyon dismissed Moeen Ali for the eighth time since the start of the Ashes 2017-18 after Ali chose to leave the delivery that crashed into his off stump. Ali had earlier said, ""He's [Lyon] bowled really well and got me out a few times. But you don't get medals for getting guys out all the time.""",CricTracker,https://www.crictracker.com/brain-fade-moment-for-moeen-ali-as-a-horrible-leave-rattles-stumps/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6941,Overseas players refuse to play entire PSL in Pakistan: Report,"Pakistan Cricket Board's (PCB) plans to host Pakistan Super League's entire next season in Pakistan might not be possible as reportedly a few overseas cricketers have expressed their reservations about staying in Pakistan owing to security concerns. According to a report, franchises want to hold half-season of next year's PSL in the United Arab Emirates.",CricTracker,https://www.crictracker.com/overseas-stars-refuse-to-play-entire-psl-in-pakistan/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6945,BJP organic entity not an assembled one: PM Modi to party MPs,"PM Narendra Modi told party MPs on Saturday that the BJP is an ""organic"" entity and not an ""assembled"" entity and it has been successful because of its ideology. Modi was speaking at Abhyas Varga, a training programme organised at the Parliament for BJP MPs. The PM urged party MPs to remain active at the grass-roots level.",The New Indian Express,http://www.newindianexpress.com/nation/2019/aug/03/bjp-organic-entity-not-an-assembled-one-pm-modi-tells-party-mps-2013634.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6946,Desist from any political adventurism in J&K: CPI(M) to govt,"The CPI(M) on Saturday said the government should desist from any ""political adventurism"" in J&K that will have grave consequences for India. ""The unprecedented cancellation of Amarnath Yatra...and the instructions to tourists to leave...have heightened tensions and anxieties among the people,"" CPI(M) added. The party said a serious situation has developed in J&K due to the government's actions.",The Financial Express,https://www.financialexpress.com/india-news/kashmir-situation-desist-from-any-political-adventurism-cpm-tells-govt/1665185/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
