2,It has been a lighter part emotionally: Deepika on her role in '83,"Speaking about her role in the upcoming film '83, Deepika Padukone said, ""There are extreme highs and lows that Romi also goes through...But the film also explores lighter moments between Romi and Kapil Dev."" ""So, in that sense, you can say that it has been a lighter part emotionally,"" she added. Deepika will portray Kapil Dev's wife in the film.",Times Now,"Deepika Padukone is most definitely one of the top-most actresses in Bollywood right now. The 33-year-old actress' latest screen outing was Padmaavat, which had hit theatres early last year. It's been more than one-and-a-half-year since she graced the silver screen and her fans have been getting antsy. Even her next box-office release, Chhapaak, is months away. Directed by Meghna Gulzar of Raazi and Talwar fame, Chhapaak would see Deepika essaying the role of an acid attack survivor named Malti and the movie is based on the life of Laxmi Agarwal. She was only recently announced to be a part of the huge cast of Kabir Khan's sports drama '83. For the movie, Deepika would be reuniting with her husband and multiple-time co-star Ranveer Singh. Deepika would be playing Romi Bhatia, the on-screen wife of Ranveer Singh, who would be essaying the role of former Indian cricket team skipper Kapil Dev in the movie. The duo has previously acted together in Goliyon Ki Raasleela: Ram-leela, Bajirao Mastani and Padmaavat. 

She revealed in an official statement that she has been craving to do a lighter role after back-to-back intense roles. She said, “Honestly speaking, I’ve always enjoyed playing characters that take a lot out of me, emotionally. Even in ’83, there are extreme highs and lows that Romi also goes through in the journey towards Indian cricket team creating history by winning the world cup. But the film also explores lighter moments between Romi and Kapil Dev. So, in that sense, you can say that it has been a lighter part emotionally.”While Chhapaak is slated for a January 10 release next year, '83 will arrive in cinemas exactly four months later on April 10, 2020. For Chhapaak, Vikrant Massey has been roped in to play the male lead and Deepika has also donned the producer's hat for the movie for the first time. 
'83 also features Pankaj Tripathi, Hardy Sandhu, Ammy Virk, Saqib Saleem, Jiiva, Tahir Raj Bhasin, Sahil Khattar among other actors in important roles.",https://www.timesnownews.com/entertainment/news/people/article/deepika-padukone-opens-up-about-her-emotionally-lighter-part-in-ranveer-singh-s/460647?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
3,Nick Jonas spent over â‚¹3 lakh on Priyanka's birthday cake: Reports,"American singer Nick Jonas spent over $5,000 (more than â‚¹3 lakh) on his wife, actress Priyanka Chopra's birthday cake, as per reports. ""Nick wanted it red and gold since Priyanka was wearing a red dress and she loves gold details,"" the cake artist was quoted as saying. Miami-based Divine Delicacies Cakes had made the 5-tiered cake for Priyanka's birthday.",Pinkvilla,"Priyanka Chopra's birthday celebration was an extravagant affair to say the least. From chilling in the middle of the sea to dazzling in a sparkly red outfit, Priyanka had the time of her life as she turned 37 on 18 July. Husband Nick Jonas also made sure to pull out all the stops to make his star wife's birthday a special one. Well, for starters the pop singer surprised Priyanka with an incredible red and gold birthday cake which was the highlight of the party. Complete with sparklers, the cake was the perfect accompaniment to Priyanka's shimmery red birthday outfit. And why would it not be? Turns out, Nick Jonas had it all planned out. The Desi Girl's cake makers, Miami-based Divine Delicacies Cakes, exclusively revealed to Pinkvilla that the cake's order was placed by hubby Nick Jonas. It was Nick's idea to have the cake made in red and gold. ""Nick wanted it red and gold since Priyanka was wearing a red dress and she loves gold details,"" the cake artist revealed. The team also had to rush to get the cake made as the order was placed at the last minute. It took a full 24 hours to bake and decorate and give the cake its finishing gold touches. Considering the cake was a piece of art, it obviously did not come at a reasonable price. The cake makers revealed that the five-layered chocolate and vanilla cake cost over 5,000 USD which is close to a staggering Rs 3,45,000. Haven't seen the cake as yet? Check it out below: Nick is a good husband, seems very caring and thoughful.",https://www.pinkvilla.com/entertainment/news/exclusive-nick-jonas-shelled-out-much-priyanka-chopras-incredible-red-and-gold-birthday-cake-464580?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
13,Inki aadat zarurat se zada bigadi huyi hai: Rama Devi to Azam Khan,"After SP leader Azam Khan apologised in Lok Sabha over his remark on BJP MP Rama Devi, she said, ""Inki aadat zarurat se zada bigadi huyi hai."" Devi added she has reached the Lok Sabha after struggles as a voice of the people, Khan has no right to say such things to her, she hasn't come to hear these comments.",The Quint,"Senior Samajwadi Party leader Azam Khan, on Monday, 29 July, apologised for his sexist remarks directed towards Deputy Speaker Rama Devi on Thursday, 25 July. Azam Khan had made the misogynistic comments during a debate on the Triple Talaq Bill in the Lok Sabha on Thursday.Apologising for his remarks, Khan said on Monday that he didn't have any bad intentions behind his remarks.The SP leader had to repeat his apology in the House as Parliamentary Affairs Minister Pralhad Joshi said Khan’s sentence was not clearly heard and that the House could not comprehend what he actually said.Also Read : LS Adjourned Amid Uproar Over Azam Khan’s ‘Objectionable Remarks’At this point, Samajwadi Party President and former Uttar Pradesh Chief Minister Akhilesh Yadav, who was sitting next to Khan, stood up to say that the Rampur MP had already apologised in the House and that he could vouch for it. However, Khan rendered his apology again, mentioning that he treats Devi like his sister.After the Samajwadi Party member again apologised in the House, a visibly peeved Devi said his remarks had pained the whole country and that she did not come to the House to hear such things. She blamed Khan for being a repeat offender.Earlier, she had said that the SP leader should be suspended from the parliament for five years and that a mere apology would not be enough. Devi also said that Khan's habit had been spoilt beyond repair and that he should improve his habits. She said that had Khan apologised immediately, she would have forgiven him.Also Read : Azam Khan’s ‘Dear Sister’ Clarification Is Not an ApologyAzam Khan's remarks have been condemned by members of parliament, including textile minister Smriti Irani, who said that such comments are a blot on all legislators, including men.Finance Minister Nirmala Sitharaman also hit out at Khan. ""This is an abominable act, I appeal to you (speaker) for exemplary action,"" she said while addressing the Lok Sabha.Samajwadi Party chief Akhilesh Yadav, on the other hand, defended Khan to everyone's surprise.(With inputs from ANI and PTI)Also Read : LS Adjourned Amid Uproar Over Azam Khan’s ‘Objectionable Remarks’(Good news! The Quint is continuing its news service on Whatsapp.)",https://www.thequint.com/news/politics/apology-will-not-do-azam-khan-should-be-suspended-bjp-mp-rama-devi?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15,Vodafone Idea share price hits lowest in 12 yrs after weak Q1 results,"The shares of Vodafone Idea slumped over 26% to below â‚¹7 per share on Monday, the highest fall in 12 years, after the company reported weak performance for the June quarter. It reported a net loss of â‚¹4,874 crore in the April-June period. The company had posted a net profit of â‚¹256.5 crore in the same period a year ago.",Livemint,"But revenue deceleration and loss in subscriber base mean synergy benefits are hardly helping. Its earnings before interest, tax, depreciation and amortization fell 22% on an adjusted basis compared to the March quarter. As a result, cash burn at Vodafone, after accounting for interest payments and capex, continues at alarming levels.",https://www.livemint.com/market/mark-to-market/vodafone-idea-q1-result-shows-chequered-path-to-recovery-1564379445635.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
16,It's an amazing opportunity to play for India at 19: Sundar,"Off-spinner Washington Sundar, who's part of Team India's T20I squad for West Indies tour, has said that it's an amazing opportunity for him to play for India at ""such a young age"". The 19-year-old added, ""I believe that my hard work is going to pay off going ahead."" Sundar has played seven T20Is and an ODI for India till now.",Times Now,"With India entering the new cycle of giving youngsters a chance after their bitter-sweet ICC World Cup 2019 campaign in the United Kingdom, 19-year-old Washington Sundar has emerged as the youngest recruit of the Men In Blue to get a nod for the upcoming assignment in the Caribbean. Sundar, who is much of a regular when it comes to representing India in the shortest format will travel to the West Indies for the month-long tour.Along with Krunal Pandya, veteran Ravindra Jadeja and uncapped Rahul Chahar, Sundar is the fourth Indian spinner expected to ply his trade for India against the West Indies. The right-arm off-spinner and left-handed batsman made his debut for the Men In Blue against Sri Lanka two years ago and was later included in the ODI side following Kedar Jadhav's hamstring injury at that time. Sri Lanka's Lahiru Thirimanne was his first victim on the international circuit as he was cleaned up by the promising young talent. As India are scheduled two T20 internationals with the Jason Holder-led side in their first away assignment post the England and Wales quadrennial event, Sundar is hopeful of becoming a success story for the Virat Kohli-led side in the Caribbean. Speaking ahead of his involvement in cricket's the shortest format against the Windies, Sundar is unperturbed by the pressure is expected to deal with as selectors are in the pursuit of rejigging the Indian squad.  “It is an amazing opportunity to be playing for India at such a young age. But the moment I think about the competition and start expecting too much, it makes things harder. I just have to focus on the present and work on my skills in practice every day,” he said. ""I put in a lot of hard work and effort in every season. I believe that my hard work is going pay off going ahead,"" he added. (Photo: IANS)Sundar was only 18 when he bagged his first player of the tournament honour at senior level. The 19-year-old was a star turnout for the Men In Blue in the 2018 Nidahas T20I Trophy hosted by Sri Lanka. Washington also featured in the unofficial ODI series with the West Indies 'A' side. “The India A tour went really well for me both in terms of building up confidence and getting some game-time, especially after the break I had last year due to injury. I got to play against some quality opposition. The conditions and the players I encountered were very different from what I am used to,” he said. ",https://www.timesnownews.com/sports/cricket/article/how-indias-youngest-recruit-washington-sundar-gearing-up-for-windies-tour/460469?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
17,Changes under Paine haven't affected Aus' desire to win: Cummins,"Speaking ahead of 2019's Ashes, Australian pacer Pat Cummins has said that changes made under Test captain Tim Paine have not affected Australia's desire to win. Cummins, who took a break following Australia's exit from the World Cup 2019, said that the Australian team took time to think about the way they wanted to play the sport following Paine's appointment.",Times Now,"The culture inside the Australian Test cricket squad may have changed since Tim Paine took over the captaincy following the ball-tampering scandal last year in South Africa, but it has not blunted their competitiveness says pace bowler Pat Cummins. The 26-year-old joint vice-captain -- who took himself off to France for a break following the World Cup semi-final loss to eventual champions England this month -- told The Guardian Paine's arrival in the wake of the scandal had forced a rethink about their approach to the game.Former captain Steve Smith and his then deputy David Warner were both given 12-month suspensions by Cricket Australia, with opening batsman Cameron Bancroft -- who applied sandpaper to the ball while in the field during a Test with South Africa in Cape Town -- banned for nine months.They are all back in the squad for the five-Test Ashes series which gets underway at Edgbaston on Thursday with the tourists bidding to not only retain the Ashes but also win their first series in England for 18 years. ""It's probably the first time where we've really had to sit back and think about how we wanted to play,"" said Cummins about when Paine took over.""For me personally, going to university (he has a Business degree) or having a few pre-seasons trying to recover from injury, it's just knowing that you can't judge yourself on purely cricket, because if you do then you're forever riding this rollercoaster. ""Definitely taking a step back gives you time to actually think."" 'Sense a wicket coming' Cummins, who has rebounded from several years of persistent injuries to be key to the Australian attack, said people who mistook that for the team going soft would be lulling themselves into a false sense of security.""The way I've always played is to get into the fight,"" he said. ""This is a side that's really hungry, many of them in their first Ashes, their first away Test. ""For me, it's about remembering what I did well last time against England, try to adjust to English conditions, but I just want to really make a mark. ""It doesn't get much bigger for a Test player than an Ashes, and you never know if it's going to be your last. So make the most of it.""Cummins, who lost the top of a middle finger aged three when one of his sisters slammed a door on it by mistake, says he believes he can flourish in the English pitches. ""There always seems to be sideways movement and the Dukes ball, even if it goes soft, still has a bit of swing,"" he said.""It's not 40 degrees so you can run in all day. ""It feels like if you put into the wicket you're going to get something out of it. ""It levels the contest sometimes as opposed to a flat day-three or day-four wicket in Australia or a flat ODI wicket, sometimes you go into defence mode. ""Over here you can always sense a wicket coming.""Cummins had been a rare bird within the Australia camp to speak out about sledging last year but he says one cannot avoid displaying one's emotions. ""Sport's quite emotional and there will definitely be times on the field when those emotions show through, but it's about trying to manage how we show them.""",https://www.timesnownews.com/sports/cricket/article/changes-under-tim-paine-have-not-affected-aussie-desire-to-win-pat-cummins/460779?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
18,I'm glad it's over: Lewis Hamilton after German Grand Prix,"After hitting the barrier and spinning off the track in the German Grand Prix, Mercedes' Lewis Hamilton said, ""It was probably the worst day I've had in the office for a long, long time. [T]o be honest...I'm glad it's over."" Hamilton has maintained his 39-point lead in the Drivers Championship ahead of Mercedes teammate Valtteri Bottas.",Times Now,"Hockenheim: Lewis Hamilton endured a German Grand Prix to forget on Sunday as a Mercedes celebration of 200 races and 125 years in motorsport turned into a soggy nightmare. The five times world champion went from pole position to last on a chaotic afternoon, the Briton hitting the barriers and spinning before finishing 11th in a race won by Red Bull's Max Verstappen.""It's just been a bad day. A bad weekend. There's not really much to say. It was probably the worst day I've had in the office for a long, long time,"" said Hamilton. ""You live and you learn. I don't really know what happened today, to be honest but I'm glad it's over,"" added the 34-year-old.""Me hitting the wall wasn't helpful and them putting on the slick tyres wasn't helpful...just a combination of things."" The only good news for Hamilton was that his team mate and closest rival Valtteri Bottas crashed out, leaving the gap between the two unchanged at 39 points.""Overall it was for us a bad day, it was for the drivers a bad day and it simply cannot go much worse,"" said team principal Toto Wolff. ""It shows that you shouldn't fool around with stuff, you should concentrate on the job,"" added the Austrian, whose team brought a new car livery and retro 1950s-style clothing to the race.""We are not superstitious but we believe in karma and it's a day to learn."" Mercedes had won nine of the 10 races before Hockenheim. Verstappen is the only driver to beat them this season, triumphant also in Austria. ",https://www.timesnownews.com/sports/others/article/im-glad-its-over-says-lewis-hamilton-after-german-grand-prix-nightmare/460462?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
19,No set deadline for automakers for transition to EVs: FM,"On the topic of automakers' concerns over the 2023 and 2025 phase-out deadline proposed by NITI Aayog for most petrol and diesel-run three and two-wheelers, Finance Minister Nirmala Sitharaman said there's no such deadline. ""NITI Aayog can generate a lot of discussions...but it's not the government's policy,"" she said. The government recently cut 12% GST on electric vehicles to 5%.",Livemint,"“My answer, particularly on the vehicles issue, buyers are not picking up vehicles…is one, as much as I hear that, I also hear reasons for it. Some who speak to me do say that the reason for buyers not rushing to get vehicles now is also this transition from Bharat Stage IV to Stage VI, directly leapfrogging Stage V. Now buyers are probably in anticipation that industry themselves would give something even as the deadline of January 2020 kicks in. So the decision is getting delayed or deferred,"" said Sitharaman in the interview.",https://www.livemint.com/auto-news/sitharaman-says-government-yet-to-set-deadline-for-automakers-to-move-to-evs-1564384884945.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
20,Bombay HC commutes rape convicts' death sentence to life,Bombay High Court on Monday commuted two rape convicts' death sentence to life imprisonment saying that there had been an unprecedented delay in executing them. They were convicted in 2012 for the rape and murder of a BPO employee in Pune in 2007. Their death warrant was issued for June 24 but stayed after hearing the convicts' petition last month.,Times Now,"Mumbai: The Bombay High Court on Monday commuted the death penalty of two convicts in the 2007 Pune BPO gang-rape and murder case to life imprisonment on the ground that there had been an inordinate delay in executing them.The convicts, Purushottam Borate and Pradeep Kokade, were to be executed on June 24, but the high court had said on June 21 that the execution should not take place as scheduled until further orders. A division bench of Justices B P Dharmadhikari and Swapna Joshi on Monday allowed the petitions filed by the convicts seeking a stay on the execution of their death warrant.""Their sentences are commuted,"" the court said.The convicts' lawyer, Yug Chaudhary, told reporters the court had said in the judgement that the duo should be in prison for a period of 35 years after taking into account the time already spent and remission. The court accepted the contention of the petitioners that there has been an inordinate delay by the authorities concerned in executing their sentence, Chaudhary said.On November 1, 2007, a Wipro BPO employee got into the regular cab contracted by the company to report for her night duty in a Pune suburb.Cab driver Borate, accompanied by his friend Kokade, changed the route and took her to a remote place, where she was raped and strangled with her dupatta by the two. They also disfigured her face to conceal her identity.The duo was convicted and awarded death penalty by a sessions court in March 2012 for kidnapping, raping and murdering the woman.In September 2012, the high court confirmed the punishment and the verdict was upheld by the Supreme Court on May 2015. The Maharashtra governor and the President had rejected their mercy petitions in 2016 and 2017, respectively.A sessions court in Pune had on April 10 issued warrants setting June 24 as the date of execution.
In the petitions filed in May, the duo sought a stay on the ground that there had been inordinate delay in deciding their mercy petitions by the Maharashtra governor and the President, and also in issuance of the warrants for execution of the death penalty.They also sought for the death penalty to be commuted to life imprisonment, claiming ""inordinate delay"" in executing them violated their fundamental rights.""Excessive and unexplained delay of over four years (1,509 days) in execution of the sentence of death causes unnecessary and unavoidable pain, suffering and mental torment that constitutes cruel and unusual punishment violative of Article 21 (right to life),"" the duo had said in the petitions.The state government, seeking dismissal of the petitions, had said that while considering the rights of the convicts, the rights of the victim's family and the collective conscience of the society would also have to be kept in mind.",https://www.timesnownews.com/mirror-now/crime/article/pune-bpo-rape-murder-case-convicts-death-penalty-commuted-to-life/460613?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
21,120 die of JE in Assam; state govt to give free treatment,"Minister of State for Health Pijush Hazarika on Monday said that the death toll in Assam due to Japanese Encephalitis (JE) has risen to 120, adding that treatment for patients has been made free at all government hospitals in the state. ""Persons who are getting treated at private hospitals will be given â‚¹1 lakh by the Assam government,"" Hazarika added.",India.com,"New Delhi: There is no respite from in Assam as the death toll due to Japanese Encephalitis (JE) has risen to 125. Assam Health Minister P Hazarika said that the government is providing free treatment in state hospitals, while those patients admitted in private hospitals being given Rs one lakh for treatment.Moreover, the medical and paramedical staff has been visiting houses in villages to aid with the treatment for the mosquito-borne disease.Advertisement
                
                    Powered by PlayStream
                
            P Hazarika, Health Min, Assam on deaths due to Japanese Encephalitis in the state: Till now,120 people have died. Govt is providing free treatment&those patients admitted in pvt hospitals being given Rs1 lakh for treatment. Medical&paramedical staff visiting houses in villages. pic.twitter.com/MOnZO2lnno— ANI (@ANI) July 29, 2019Just two days ago, the Assam state health department breathed a sigh of relief as the number of cases reported on JE on a daily basis went down significantly as its “peak period” was over.The total number of JE cases stood at 544 across various districts of Assam. The National Health Mission (NHM) said that this year recorded the maximum number of JE cases in the northern Assam districts of Lakhimpur, Sivasagar and Sonitpur. Other districts like Goalpara, Kamrup, Jorhat and Dibrugarh were also severely affected.Meanwhile, the brain fever has spread to Meghalaya where, on Wednesday, with 66 people tested positive for the disease, officials said.Caused by a mosquito-borne virus, encephalitis results in inflammation of the brain and affects the central nervous system. While the lesser symptoms include headache and fever, the more severe ones cause seizures, confusion, disorientation, tremors and hallucinations.With IANS inputs",https://www.india.com/news/india/assam-grapples-with-japanese-encephalitis-deaths-state-govt-offers-free-medical-treatment-3730305/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
