0,Springboard mentors & career coaches help learners switch careers,"Industry experts in data science from companies like Paytm, Myntra, Uber, Swiggy etc have joined hands with Springboard to provide 1:1 mentorship every week to its Indian learners to help them transition to a career in data science. Springboard is a US based online learning platform that seeks to help learners transition their careers through its unique approach.",Springboard,https://in.springboard.com/
1,"Law student, who accused Chinmayanand of rape, held for extortion","The law student, who accused BJP leader Swami Chinmayanand of rape, has been arrested by the SIT for allegedly trying to extort money from him, Uttar Pradesh DGP OP Singh said. Earlier, the 23-year-old's lawyer said that they had filed a plea for anticipatory bail in the extortion case filed by Chinmayanand. The BJP leader was arrested last week.",ANI,https://twitter.com/ANINewsUP/status/1176718347691388928?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
2,PM Modi gets ‘Global Goalkeeper Award’ for Swachh Bharat campaign,"PM Narendra Modi has received the 'Global Goalkeeper Award' for the 'Swachh Bharat' campaign from Bill and Melinda Gates Foundation. PM Modi said, ""This honour is not mine but of the crores of Indians who not only fulfilled the 'Swachh Bharat' dream but also made it a part of their daily lives."" The campaign benefited women the most, he added.",The Quint,https://www.thequint.com/news/india/pm-modi-in-us-live?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
3,Symbiosis' SNAP test to take place on 15th December 2019,"SNAP test, the online aptitude test for Symbiosis International (Deemed University) is a gateway to 28 programmes offered by 16 institutes. The test structure comprises 3 sections and 110 questions. This year, the current affairs section has been removed. Registrations for SNAP are live and the test will be conducted online on 15th December 2019 in 90 cities across India.",Symbiosis,https://www.snaptest.org/symbiosis-entrance-exam-for-mba.html?utm_source=Inshorts&utm_medium=Story
4,Man posts Salman's pic with red cross as death threat; police launch probe,"The Rajasthan Police has said they are investigating death threats against Salman Khan ahead of his court hearing in the blackbuck poaching case later this week. The threat, which carried a photo of Salman with a red cross, was posted on Facebook from an account named Garry Shooter. ''People have alleged...a gang [named] '007' is behind it,"" said police.",ANI,https://www.aninews.in/news/national/general-news/blackbuck-poaching-case-salman-khan-receives-death-threat-police-initiates-probe20190925031226/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6,"iOS 13, iPadOS bug gives full access to some third-party keyboards","Apple on Tuesday revealed an iOS 13 and iPadOS bug that could grant full system access to third-party keyboards which have the ability to request ""full access"" permissions. The bug may allow full access permission even if it was not approved, Apple warned. ""This issue does not impact Apple's built-in keyboards,"" the iPhone maker further added.",TechCrunch,https://techcrunch.com/2019/09/24/apple-bug-full-access-keyboards/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7,"FB to not fact-check, block politicians' posts for breaking rules","Facebook has confirmed that it won't fact-check politicians' speeches or block their content if it's newsworthy, even if it violates Facebook's hate-speech or other policies. Facebook's global policy and communication head Nick Clegg said the idea behind the move is for users to ""judge what politicians say themselves"". However, Facebook will delete content that could lead to real-world violence.",TechCrunch,https://techcrunch.com/2019/09/24/pawn-not-platform/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
10,Won't allow driverless cars in India as it can take away jobs: Gadkari,"Minister of Road Transport and Highways Nitin Gadkari has said he won't allow driverless cars in India. ""I was asked whether I oppose new technology. I said not at all,"" he added. ""There are 40 lakh drivers in [India] and a shortage of 25 lakh drivers. I'll not let the jobs of 1 crore people be snatched away,"" Gadkari said.",Livemint,https://www.livemint.com/news/india/driverless-cars-won-t-be-allowed-in-india-says-nitin-gadkari/amp-1569379861072.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
11,OYO's revenue grew 4.4 times in a year by June 2019: CEO,"India's most valuable budget hospitality startup OYO's Founder and CEO Ritesh Agarwal, speaking with The Financial Express, revealed that the startup's revenue grew 4.4 times year-over-year in June 2019. ""The losses as a percentage of NRV (net realised value) have been on a steady and significant declining curve,"" he added. OYO is yet to officially file its FY19 financial results.",The Financial Express,https://www.financialexpress.com/industry/sme/oyo-has-seen-4-4-times-y-o-y-growth-in-revenue-in-june-2019-says-founder-and-group-ceo-ritesh-agarwal/1716555/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
12,PhonePe takes BharatPe to Delhi HC over trademark infringement,"Payments service provider PhonePe, owned by Flipkart-parent Walmart, has registered a trademark infringement case in Delhi High Court against BharatPe, accusing it of illegally using the suffix ""Pe"". PhonePe has also sought an injunction order, which wasn't granted in its last hearing. PhonePe had issued a notice to BharatPe last year, following which BharatPe changed its logo and colour scheme.",Entrackr,https://entrackr.com/2019/09/phonepe-drags-bharatpe-delhi-hc-trademark-infringement/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
13,OYO may raise up to $1 billion at $13.5-15 billion valuation,Gurugram-based budget hospitality startup OYO is reportedly in talks to raise $750 million to $1 billion in fresh funds to infuse in its parent company Oravel Stays. The funding could reportedly be led by Japanese conglomerate SoftBank and OYO's valuation is expected to reach $13.5-15 billion post-funding. OYO will reportedly use the funds towards its five-star and luxury properties worldwide.,TechCircle,https://www.techcircle.in/2019/09/24/deal-talk-uber-co-founder-travis-kalanick-to-invest-in-rebel-foods-oyo-to-raise-1-bn?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
